rank,name,net_worth,bday,age,nationality
1,Elon Musk,$240 Billion,28-Jun-71,51,South Africa
2,Jeff Bezos,$150 Billion,12-Jan-64,58,United States of America
3,Gautam Adani,$138 Billion,24-Jun-62,60,India
4,Bernard Arnault,$135 Billion,5-Mar-49,73,France
5,Bill Gates,$118 Billion,28-Oct-55,66,United States of America
6,Warren Buffett,$101 Billion,30-Aug-30,92,United States of America
7,Larry Page,$100 Billion,26-Mar-73,49,United States of America
8,Sergey Brin,$96 Billion,21-Aug-73,48,United States of America
9,Steve Ballmer,$94 Billion,24-Mar-56,66,United States of America
10,Larry Ellison,$93 Billion,17-Aug-44,78,United States of America
11,Alain & Gerard Wertheimer,$90 Billion,,,France
12,Mukesh Ambani,$89 Billion,19-Apr-57,65,India
13,Carlos Slim Helu,$72 Billion,28-Jan-40,82,Mexico
14,Vladimir Putin,$70 Billion,7-Oct-52,69,Russia
15,Françoise Bettencourt-Meyers,$70 Billion,10-Jul-53,69,France
16,Amancio Ortega Gaona,$70 Billion,28-Mar-36,86,Spain
17,Michael Bloomberg,$70 Billion,14-Feb-42,80,United States of America
18,Mark Zuckerberg,$70 Billion,14-May-84,38,United States of America
19,Rob Walton,$68 Billion,28-Oct-44,77,United States of America
20,Jim Walton,$68 Billion,7-Jun-48,74,United States of America
21,Zhong Shanshan,$68 Billion,,,China
22,Alice Walton,$66 Billion,7-Oct-49,72,United States of America
23,Julia Flesher Koch,$62 Billion,12-Apr-62,60,United States of America
24,Charles Koch,$60 Billion,1-Nov-35,86,United States of America
25,Michael Dell,$52 Billion,23-Feb-65,57,United States of America
26,Francois Pinault,$50 Billion,21-Aug-36,86,France
27,David Thomson,$50 Billion,12-Jun-57,65,Canada
28,Ma Huateng,$48 Billion,29-Oct-71,50,China
29,Alain Wertheimer,$45 Billion,28-Sep-48,73,France
30,Gerard Wertheimer,$45 Billion,17-Apr-51,71,French
31,Zhang Yiming,$44 Billion,1-Apr-83,39,China
32,Tadashi Yanai,$42 Billion,7-Feb-49,73,Japan
33,John Mars,$42 Billion,15-Oct-35,86,United States of America
34,Jacqueline Mars,$42 Billion,10-Oct-39,82,United States of America
35,Phil Knight,$40 Billion,24-Feb-38,84,United States of America
