rank,name,net_worth,bday,age,nationality
1,Elon Musk,240,28-Jun-71,51,South Africa
2,Jeff Bezos,150,12-Jan-64,58,United States
3,Gautam Adani,138,24-Jun-62,60,India
4,Bernard Arnault,135,5-Mar-49,73,France
5,Bill Gates,118,28-Oct-55,66,United States
6,Warren Buffett,101,30-Aug-30,92,United States
7,Larry Page,100,26-Mar-73,49,United States
8,Sergey Brin,96,21-Aug-73,48,United States
9,Steve Ballmer,94,24-Mar-56,66,United States
10,Larry Ellison,93,17-Aug-44,78,United States
12,Mukesh Ambani,89,19-Apr-57,65,India
13,Carlos Slim Helu,72,28-Jan-40,82,Mexico
14,Vladimir Putin,70,7-Oct-52,69,Russia
15,Françoise Bettencourt-Meyers,70,10-Jul-53,69,France
16,Amancio Ortega Gaona,70,28-Mar-36,86,Spain
17,Michael Bloomberg,70,14-Feb-42,80,United States
18,Mark Zuckerberg,70,14-May-84,38,United States
19,Rob Walton,68,28-Oct-44,77,United States
20,Jim Walton,68,7-Jun-48,74,United States
22,Alice Walton,66,7-Oct-49,72,United States
23,Julia Flesher Koch,62,12-Apr-62,60,United States
